     Omega (cm-1)     IR (km mol-1)      Config.
      1156.6993        0.166614E+01       1_1
      1246.5199        0.153951E+02       2_1
      1505.4999        0.632543E+01       3_1
      1750.0176        0.101244E+03       4_1
      2306.8178        0.928729E-02       1_2
      2486.3569        0.117288E+01       2_2
      2768.8982        0.534822E+02       5_1
      3010.6729        0.137607E+01       3_2
      2691.9225        0.568719E+02       2_1    3_1
      2831.8324        0.924623E+02       6_1
      3000.9036        0.775197E+01       2_1    4_1
