     Omega (cm-1)     IR (km mol-1)   Coeff.  Weight      Config.
      1152.8768        0.157012E+01    0.998   0.995        1_1
      1224.5352        0.173528E+02    0.997   0.994        2_1
      1477.4161        0.466277E+01   -0.997   0.993        3_1
      1807.4760        0.113262E+03   -0.997   0.994        4_1
      2301.6487        0.251942E-01    0.981   0.963        1_2
      2398.4260        0.351735E-20   -0.997   0.994        1_1    2_1
      2446.3266        0.825022E+00    0.979   0.958        2_2
      2629.2622        0.106739E+03    0.755   0.569        6_1
      2648.3231        0.241619E-01   -0.996   0.992        1_1    3_1
      2700.6529        0.618717E+02    0.961   0.924        5_1
      2778.9065        0.897849E+02    0.775   0.600        2_1    3_1
      2954.1969        0.114192E+01   -0.993   0.986        3_2
      2971.9366        0.362450E-05    0.997   0.994        1_1    4_1
      3051.4417        0.382438E+01   -0.986   0.972        2_1    4_1
      3299.5606        0.639270E-01    0.994   0.989        3_1    4_1
      3452.3926        0.113149E-01   -0.948   0.899        1_3
      3546.6495        0.149636E-01   -0.968   0.937        1_2    2_1
      3594.1230        0.430181E+01    0.995   0.990        4_2
      3627.6789        0.381263E-02   -0.969   0.938        1_1    2_2
      3669.4379        0.139745E-01   -0.941   0.885        2_3
      3754.0192        0.769930E-21    0.877   0.769        1_1    6_1
      3792.6992        0.795132E-01   -0.620   0.384        2_1    6_1
      3797.2529        0.193876E-01   -0.765   0.585        1_2    3_1
      3835.7592        0.365226E-01   -0.923   0.852        1_1    5_1
      3907.0760        0.455518E+00   -0.910   0.829        2_1    5_1
      3935.0124        0.138852E-21    0.897   0.805        1_1    2_1    3_1
      3998.4252        0.202626E-05   -0.769   0.591        2_2    3_1
