     Omega (cm-1)     IR (km mol-1)   Coeff.  Weight      Config.
      1156.0502        0.170381E+01    0.997   0.994        1_1
      1242.9575        0.160837E+02    0.997   0.994        2_1
      1502.1175        0.403280E+01   -0.996   0.991        3_1
      1750.2388        0.105113E+03    0.996   0.993        4_1
      2302.8460        0.220856E-01   -0.977   0.954        1_2
      2418.8582        0.938973E-20   -0.996   0.992        1_1    2_1
      2478.2891        0.945457E+00    0.975   0.950        2_2
      2676.0252        0.252005E-01   -0.994   0.989        1_1    3_1
      2695.7895        0.711071E+02    0.709   0.503        2_1    3_1
      2763.4351        0.548436E+02    0.952   0.906        5_1
      2836.0261        0.960285E+02    0.695   0.484        2_1    3_1
      2918.1144        0.481644E-04    0.996   0.991        1_1    4_1
      3002.4686        0.183237E+01   -0.989   0.979        3_2
      3015.9404        0.725029E+01   -0.974   0.949        2_1    4_1
      3268.0796        0.202066E+00    0.992   0.984        3_1    4_1
      3448.2296        0.119812E-01    0.939   0.881        1_3
      3478.2955        0.443147E+01    0.994   0.988        4_2
      3562.5968        0.224275E-01    0.961   0.924        1_2    2_1
      3659.4020        0.322069E-02   -0.964   0.930        1_1    2_2
      3711.7054        0.238014E-01   -0.931   0.867        2_3
      3819.5025        0.851621E-02   -0.966   0.932        1_2    3_1
      3841.7373        0.934612E-19   -0.825   0.680        1_1    6_1
      3888.9493        0.652216E-01    0.733   0.538        2_1    6_1
      3907.5358        0.293779E-01   -0.913   0.834        1_1    5_1
      3995.1287        0.106448E-17    0.847   0.717        1_1    2_1    3_1
      3995.6820        0.538918E+00    0.908   0.824        2_1    5_1
