     Omega (cm-1)     IR (km mol-1)      Config.
      1156.6706        0.166596E+01       1_1
      1244.5088        0.158842E+02       2_1
      1503.3826        0.630761E+01       3_1
      1749.3819        0.101249E+03       4_1
      2306.7471        0.917631E-02       1_2
      2481.9217        0.112455E+01       2_2
      2768.6468        0.534808E+02       5_1
      3005.7335        0.142894E+01       3_2
      2683.7864        0.527816E+02       2_1    3_1
      2830.1255        0.952362E+02       6_1
      2996.9652        0.917285E+01       2_1    4_1
