     Omega (cm-1)     IR (km mol-1)      Config.
      1610.9775        0.314766E+02      16_1
      1618.9765        0.309780E+02      25_1
      1633.0229        0.707139E+02       7_1
      3087.0147        0.203655E+01      17_1
      3174.9882        0.352199E+03      16_2
      3177.9516        0.341074E+03       7_2
      3221.8690        0.139119E+02       7_1   16_1
      3230.9451        0.297708E+01      16_1   25_1
      3248.1670        0.659584E+02       7_1   25_1
      3256.0982        0.102984E+03       7_1   25_1
      3264.7017        0.374905E+03      16_2
      3273.3353        0.319656E+03       7_2
      3619.2096        0.576307E+02      27_1
      3621.1825        0.343905E+02      18_1
      3623.8422        0.309305E+02       9_1
